llama-3-3-70b-instruct
granite-3-1-8b-instruct
mixtral-8x22b-instruct
mixtral-8x7b-instruct
mixtral-8x22b-instruct
llama-3-1-8b-instruct
llama-3-1-70b-instruct
llama-3-1-405b-instruct
mistral-large-instruct
microsoft-phi
granite-3-0-8b-instruct
deepseek-coder-33b-instruct
qwen2-5-72b-instruct
granite-34b-schema-linking
avengers-jamba
alpindale-wizardlm
granite-20b-code-instruct
granite-34b-content-linking
granite-7b-lab-turbo-nozero
meta-llama-3-1-8b-ray
granite-8b-code-instruct-4k
granite-7b-lab-turbo
granite-20b-code-instruct-8k
granite-34b-code-instruct-8k
granite-34b-schema-linking
llama-3-2-90b-instruct
granite-7b-lab-multi
deepseek-v3
deepseek-r1
deepseek-r2
